vt,de,d,vv,phi,pd
200.00,20.00,10.00,347.83,0.05,1.01
200.00,20.00,50.00,1739.13,0.05,5.07
200.00,20.00,100.00,3478.26,0.05,10.13
300.00,20.00,10.00,521.74,0.05,1.01
300.00,20.00,50.00,2608.70,0.05,5.07
300.00,20.00,100.00,5217.39,0.05,10.13
400.00,20.00,10.00,695.65,0.05,1.01
400.00,20.00,50.00,3478.26,0.05,5.07
400.00,20.00,100.00,6956.52,0.05,10.13
500.00,20.00,10.00,869.57,0.05,1.01
500.00,20.00,50.00,4347.83,0.05,5.07
500.00,20.00,100.00,8695.65,0.05,10.13
