vt,de,d,vv,phi,pd
200.00,20.00,10.00,100.00,0.05,1.01
200.00,20.00,50.00,500.00,0.05,5.07
200.00,20.00,100.00,1000.00,0.05,10.13
300.00,20.00,10.00,150.00,0.05,1.01
300.00,20.00,50.00,750.00,0.05,5.07
300.00,20.00,100.00,1500.00,0.05,10.13
400.00,20.00,10.00,200.00,0.05,1.01
400.00,20.00,50.00,1000.00,0.05,5.07
400.00,20.00,100.00,2000.00,0.05,10.13
500.00,20.00,10.00,250.00,0.05,1.01
500.00,20.00,50.00,1250.00,0.05,5.07
500.00,20.00,100.00,2500.00,0.05,10.13
