vt,de,d,vv,phi,pd
200.00,20.00,10.00,2000.00,0.05,1.01
200.00,20.00,50.00,10000.00,0.05,5.07
200.00,20.00,100.00,20000.00,0.05,10.13
300.00,20.00,10.00,3000.00,0.05,1.01
300.00,20.00,50.00,15000.00,0.05,5.07
300.00,20.00,100.00,30000.00,0.05,10.13
400.00,20.00,10.00,4000.00,0.05,1.01
400.00,20.00,50.00,20000.00,0.05,5.07
400.00,20.00,100.00,40000.00,0.05,10.13
500.00,20.00,10.00,5000.00,0.05,1.01
500.00,20.00,50.00,25000.00,0.05,5.07
500.00,20.00,100.00,50000.00,0.05,10.13
