W_500_10_300,T_500_10_300,W_500_50_300,T_500_50_300,W_500_100_300,T_500_100_300,W_500_10_100,T_500_10_100,W_500_50_100,T_500_50_100,W_500_100_100,T_500_100_100,W_500_10_30,T_500_10_30,W_500_50_30,T_500_50_30,W_500_100_30,T_500_100_30
3.284E+07,000.003773,1.048E+07,000.000171,5.538E+05,000.003773,3.303E+07,000.003773,1.049E+07,000.000171,5.855E+05,000.003773,1.652E+07,000.010482,1.575E+06,000.006289,6.739E+05,000.003773
2.801E+07,000.004640,9.727E+06,000.000211,4.743E+05,000.004640,2.823E+07,000.004640,9.734E+06,000.000211,5.099E+05,000.004640,1.486E+07,000.012889,1.420E+06,000.007733,6.135E+05,000.004640
2.392E+07,000.005680,9.000E+06,000.000260,4.044E+05,000.005680,2.417E+07,000.005680,9.008E+06,000.000260,4.442E+05,000.005680,1.362E+07,000.015778,1.308E+06,000.009467,5.652E+05,000.005680
2.046E+07,000.006928,8.302E+06,000.000318,3.437E+05,000.006928,2.075E+07,000.006928,8.312E+06,000.000318,3.884E+05,000.006928,1.285E+07,000.019244,1.243E+06,000.011547,5.299E+05,000.006928
1.756E+07,000.008426,7.633E+06,000.000388,2.922E+05,000.008426,1.789E+07,000.008426,7.645E+06,000.000388,3.425E+05,000.008426,1.251E+07,000.023404,1.232E+06,000.014043,5.092E+05,000.008426
1.521E+07,000.010223,6.996E+06,000.000472,2.498E+05,000.010223,1.558E+07,000.010223,7.009E+06,000.000472,3.068E+05,000.010223,1.261E+07,000.028396,1.270E+06,000.017038,5.050E+05,000.010223
1.339E+07,000.012379,6.390E+06,000.000572,2.170E+05,000.012379,1.381E+07,000.012379,6.405E+06,000.000572,2.822E+05,000.012379,1.313E+07,000.034386,1.363E+06,000.020632,5.216E+05,000.012379
1.188E+07,000.014967,5.817E+06,000.000693,1.937E+05,000.014967,1.236E+07,000.014967,5.834E+06,000.000693,2.697E+05,000.014967,1.412E+07,000.041575,1.527E+06,000.024945,5.648E+05,000.014967
1.069E+07,000.018072,5.276E+06,000.000838,1.763E+05,000.018072,1.126E+07,000.018072,5.296E+06,000.000838,2.660E+05,000.018072,1.562E+07,000.050201,1.783E+06,000.030120,6.366E+05,000.018072
9.824E+06,000.021799,4.769E+06,000.001012,1.649E+05,000.021799,1.048E+07,000.021799,4.792E+06,000.001012,2.726E+05,000.021799,1.776E+07,000.060552,2.162E+06,000.036331,7.478E+05,000.021799
9.227E+06,000.026270,4.294E+06,000.001220,1.595E+05,000.026270,1.000E+07,000.026270,4.320E+06,000.001220,2.916E+05,000.026270,2.070E+07,000.072973,2.711E+06,000.043784,9.138E+05,000.026270
8.866E+06,000.031636,3.852E+06,000.001471,1.598E+05,000.031636,9.794E+06,000.031636,3.882E+06,000.001471,3.252E+05,000.031636,2.471E+07,000.087879,3.500E+06,000.052727,1.156E+06,000.031636
8.707E+06,000.038076,3.441E+06,000.001771,1.659E+05,000.038076,9.831E+06,000.038076,3.475E+06,000.001771,3.773E+05,000.038076,3.019E+07,000.105766,4.637E+06,000.063459,1.508E+06,000.038076
8.719E+06,000.045803,3.060E+06,000.002132,1.783E+05,000.045803,1.010E+07,000.045803,3.098E+06,000.002132,4.540E+05,000.045803,3.776E+07,000.127230,6.284E+06,000.076338,2.018E+06,000.045803
8.881E+06,000.055075,2.706E+06,000.002564,1.982E+05,000.055075,1.059E+07,000.055075,2.749E+06,000.002564,5.645E+05,000.055075,4.831E+07,000.152987,8.686E+06,000.091792,2.760E+06,000.055075
9.183E+06,000.066202,2.380E+06,000.003084,2.275E+05,000.066202,1.132E+07,000.066202,2.429E+06,000.003084,7.229E+05,000.066202,6.318E+07,000.183895,1.222E+07,000.110337,3.845E+06,000.066202
9.620E+06,000.079555,2.082E+06,000.003706,2.692E+05,000.079555,1.232E+07,000.079555,2.136E+06,000.003706,9.506E+05,000.079555,8.436E+07,000.220985,1.744E+07,000.132591,5.446E+06,000.079555
1.020E+07,000.095578,1.810E+06,000.004454,3.278E+05,000.095578,1.365E+07,000.095578,1.871E+06,000.004454,1.280E+06,000.095578,1.149E+08,000.265493,2.523E+07,000.159296,7.823E+06,000.095578
1.095E+07,000.114805,1.562E+06,000.005351,4.101E+05,000.114805,1.539E+07,000.114805,1.631E+06,000.005351,1.759E+06,000.114805,1.593E+08,000.318903,3.691E+07,000.191342,1.138E+07,000.114805
1.189E+07,000.137878,1.341E+06,000.006428,5.261E+05,000.137878,1.768E+07,000.137878,1.417E+06,000.006428,2.463E+06,000.137878,2.246E+08,000.382994,5.456E+07,000.229797,1.673E+07,000.137878
1.307E+07,000.165566,1.146E+06,000.007719,6.909E+05,000.165566,2.071E+07,000.165566,1.232E+06,000.007719,3.505E+06,000.165566,3.214E+08,000.459904,8.141E+07,000.275943,2.482E+07,000.165566
1.457E+07,000.198791,9.793E+05,000.009270,9.271E+05,000.198791,2.474E+07,000.198791,1.075E+06,000.009270,5.057E+06,000.198791,4.660E+08,000.552196,1.226E+08,000.331318,3.713E+07,000.198791
1.646E+07,000.238661,8.409E+05,000.011130,1.268E+06,000.238661,3.015E+07,000.238661,9.485E+05,000.011130,7.383E+06,000.238661,6.837E+08,000.662947,1.866E+08,000.397768,5.595E+07,000.238661
1.887E+07,000.286505,7.348E+05,000.013362,1.765E+06,000.286505,3.752E+07,000.286505,8.571E+05,000.013362,1.089E+07,000.286505,1.014E+09,000.795847,2.874E+08,000.477508,8.495E+07,000.286505
2.198E+07,000.343918,6.526E+05,000.016041,2.495E+06,000.343918,4.764E+07,000.343918,7.931E+05,000.016041,1.619E+07,000.343918,1.521E+09,000.955327,4.504E+08,000.573196,1.300E+08,000.343918
2.601E+07,000.412813,5.883E+05,000.019255,3.574E+06,000.412813,6.172E+07,000.412813,7.515E+05,000.019255,2.426E+07,000.412813,2.306E+09,001.146704,7.245E+08,000.688022,2.012E+08,000.412813
3.129E+07,000.495488,5.427E+05,000.023112,5.178E+06,000.495488,8.153E+07,000.495488,7.351E+05,000.023112,3.661E+07,000.495488,3.543E+09,001.376356,1.213E+09,000.825813,3.162E+08,000.495488
3.829E+07,000.594698,5.146E+05,000.027741,7.579E+06,000.594698,1.097E+08,000.594698,7.452E+05,000.027741,5.562E+07,000.594698,5.541E+09,001.651938,2.154E+09,000.991163,5.108E+08,000.594698
4.768E+07,000.713749,5.021E+05,000.033295,1.119E+07,000.713749,1.502E+08,000.713749,7.836E+05,000.033295,8.508E+07,000.713749,8.293E+09,001.927520,4.086E+09,001.189582,8.694E+08,000.713749
6.044E+07,000.856611,5.045E+05,000.039961,1.667E+07,000.856611,2.089E+08,000.856611,8.542E+05,000.039961,1.311E+08,000.856611,1.317E+10,002.258219,8.060E+09,001.427685,1.638E+09,000.856611
7.797E+07,001.028045,5.216E+05,000.047959,2.500E+07,001.028045,2.948E+08,001.028045,9.642E+05,000.047959,2.041E+08,001.028045,2.274E+10,002.655057,1.227E+10,001.599119,3.608E+09,001.028045
1.023E+08,001.233766,5.546E+05,000.057557,3.775E+07,001.233766,4.213E+08,001.233766,1.125E+06,000.057557,3.224E+08,001.233766,4.235E+10,003.131263,1.763E+10,001.770553,8.569E+09,001.233766
1.366E+08,001.480631,6.059E+05,000.069075,5.739E+07,001.480631,6.087E+08,001.480631,1.353E+06,000.069075,5.219E+08,001.480631,8.260E+10,003.702710,2.559E+10,001.976274,1.723E+10,001.480631
1.851E+08,001.776869,6.797E+05,000.082896,8.776E+07,001.776869,8.882E+08,001.776869,1.675E+06,000.082896,8.826E+08,001.776869,1.637E+11,004.388447,3.742E+10,002.223139,2.850E+10,001.776869
2.545E+08,002.132355,7.821E+05,000.099482,1.350E+08,002.132355,1.307E+09,002.132355,2.129E+06,000.099482,1.600E+09,002.132355,3.211E+11,005.211331,5.504E+10,002.519378,2.860E+10,001.779855
3.542E+08,002.558938,9.224E+05,000.119385,2.092E+08,002.558938,1.939E+09,002.558938,2.774E+06,000.119385,2.407E+09,002.388305,5.518E+11,006.034215,8.125E+10,002.874863,2.864E+10,001.780930
4.986E+08,003.070838,1.114E+06,000.143268,3.276E+08,003.070838,2.722E+09,002.985521,3.696E+06,000.143268,3.559E+09,002.644255,8.456E+11,006.857099,1.200E+11,003.301446,2.867E+10,001.781574
7.085E+08,003.685118,1.377E+06,000.171928,5.218E+08,003.685118,3.272E+09,003.241471,5.025E+06,000.171928,5.480E+09,002.951395,1.178E+12,007.679982,1.769E+11,003.813346,2.870E+10,001.782348
1.015E+09,004.422253,1.739E+06,000.206319,8.564E+08,004.422253,4.008E+09,003.548611,6.953E+06,000.206319,8.589E+09,003.319962,1.527E+12,008.502866,2.596E+11,004.427626,2.873E+10,001.783277
1.385E+09,005.159389,2.241E+06,000.247590,1.474E+09,005.306816,5.004E+09,003.917179,9.776E+06,000.247590,1.343E+10,003.762244,1.950E+12,009.490327,3.781E+11,005.164761,2.877E+10,001.784391
1.914E+09,006.043951,2.945E+06,000.297114,2.702E+09,006.368291,6.399E+09,004.359460,1.394E+07,000.297114,2.082E+10,004.292981,2.468E+12,010.675280,5.456E+11,006.049324,2.882E+10,001.785728
2.667E+09,007.105426,3.941E+06,000.356543,5.254E+09,007.642061,8.552E+09,004.890198,2.011E+07,000.356543,3.212E+10,004.929866,3.007E+12,011.860233,7.782E+11,007.110799,2.888E+10,001.787333
3.723E+09,008.379196,5.362E+06,000.427858,1.048E+10,009.170585,1.233E+10,005.527083,2.935E+07,000.427858,4.925E+10,005.694128,3.566E+12,013.045186,1.095E+12,008.384569,2.895E+10,001.789258
5.264E+09,009.907721,7.408E+06,000.513435,2.054E+10,011.004814,1.953E+10,006.291345,4.326E+07,000.513435,7.473E+10,006.611243,4.141E+12,014.230139,1.517E+12,009.913093,2.904E+10,001.791569
7.978E+09,011.741950,1.038E+07,000.616129,3.863E+10,013.205889,3.348E+10,007.208459,6.437E+07,000.616129,1.118E+11,007.711780,4.727E+12,015.415092,2.064E+12,011.747322,2.915E+10,001.794342
1.355E+10,013.943024,1.474E+07,000.739361,6.891E+10,015.847179,6.008E+10,008.308997,9.664E+07,000.739361,1.641E+11,009.032425,5.317E+12,016.600044,2.758E+12,013.948397,2.927E+10,001.797669
2.479E+10,016.584314,2.120E+07,000.887239,1.161E+11,019.016726,1.086E+11,009.629641,1.464E+08,000.887239,2.354E+11,010.617199,5.909E+12,017.784997,3.634E+12,016.589687,2.942E+10,001.801662
4.575E+10,019.753862,3.082E+07,001.064693,1.844E+11,022.820183,1.908E+11,011.214415,2.238E+08,001.064693,3.280E+11,012.518928,6.498E+12,018.969950,4.793E+12,019.759234,2.961E+10,001.806453
8.234E+10,023.557319,4.530E+07,001.277638,2.759E+11,027.384332,3.185E+11,013.116144,3.461E+08,001.277638,4.405E+11,014.801002,7.083E+12,020.154903,6.591E+12,023.562692,2.983E+10,001.812202
1.429E+11,028.121468,6.724E+07,001.533172,3.885E+11,032.861310,5.039E+11,015.398218,5.430E+08,001.533172,5.645E+11,017.539491,7.662E+12,021.339856,1.008E+13,028.126840,3.010E+10,001.819102
2.386E+11,033.598446,1.007E+08,001.839813,5.199E+11,039.433685,7.641E+11,018.136707,8.707E+08,001.839813,6.839E+11,020.825678,8.232E+12,022.524809,1.709E+13,033.603819,3.042E+10,001.827381
3.842E+11,040.170820,1.523E+08,002.207782,6.969E+11,047.320533,1.124E+12,021.422895,1.442E+09,002.207782,7.877E+11,024.769103,8.792E+12,023.709762,2.687E+13,040.176193,3.080E+10,001.837316
5.995E+11,048.057669,2.321E+08,002.649344,1.111E+12,056.784752,1.529E+12,024.709082,1.596E+09,002.287263,9.341E+11,029.501212,9.448E+12,025.131705,3.364E+13,048.063042,3.126E+10,001.849239
9.090E+11,057.521888,3.572E+08,003.179219,2.288E+12,066.248971,1.970E+12,027.995269,1.764E+09,002.366744,1.500E+12,035.179743,1.009E+13,026.553649,3.550E+13,057.527260,3.182E+10,001.863545
1.266E+12,066.986106,5.562E+08,003.815069,5.292E+12,075.713189,2.439E+12,031.281456,1.985E+09,002.462122,2.540E+12,038.586862,1.070E+13,027.975592,3.532E+13,068.884323,3.250E+10,001.880713
1.662E+12,076.450325,8.196E+08,004.450920,1.030E+13,085.177408,2.932E+12,034.567643,2.282E+09,002.576575,4.856E+12,041.993981,1.130E+13,029.397536,3.536E+13,082.512798,3.331E+10,001.901315
2.089E+12,085.914544,1.242E+09,005.213940,1.533E+13,096.534471,3.442E+12,037.853830,2.687E+09,002.713918,9.454E+12,045.401099,1.187E+13,030.819479,3.603E+13,098.866967,3.431E+10,001.926036
2.543E+12,095.378762,1.946E+09,006.129564,1.833E+13,110.162945,3.966E+12,041.140017,3.254E+09,002.878731,1.724E+13,048.808218,1.253E+13,032.525811,3.667E+13,118.491971,3.552E+10,001.955703
3.017E+12,104.842981,3.184E+09,007.228313,2.060E+13,126.517115,4.499E+12,044.426204,4.068E+09,003.076505,2.887E+13,052.896761,1.315E+13,034.232143,3.691E+13,142.041976,3.703E+10,001.991302
3.507E+12,114.307200,5.502E+09,008.546812,2.317E+13,142.871285,5.038E+12,047.712391,5.264E+09,003.313835,3.802E+13,057.803012,1.374E+13,035.938476,3.693E+13,170.301981,3.890E+10,002.034022
4.009E+12,123.771418,1.013E+10,010.129010,2.702E+13,162.496289,5.580E+12,050.998578,7.067E+09,003.598631,3.957E+13,063.690513,1.429E+13,037.644808,3.693E+13,204.213988,4.128E+10,002.085285
4.519E+12,133.235637,1.958E+10,012.027649,3.179E+13,186.046294,6.123E+12,054.284765,9.838E+09,003.940386,3.940E+13,070.755514,1.491E+13,039.692406,3.693E+13,244.908396,4.431E+10,002.146801
5.036E+12,142.699856,3.812E+10,014.306015,3.717E+13,214.306299,6.664E+12,057.570952,1.417E+10,004.350492,4.062E+13,079.233516,1.549E+13,041.740005,3.693E+13,293.741685,4.826E+10,002.220620
5.555E+12,152.164074,7.232E+10,017.040054,4.315E+13,248.218306,7.201E+12,060.857139,2.100E+10,004.842619,4.487E+13,089.407118,1.601E+13,043.787603,3.693E+13,352.341633,5.342E+10,002.309203
6.075E+12,161.628293,1.317E+11,020.320901,4.963E+13,288.912714,7.733E+12,064.143326,3.182E+10,005.433171,5.165E+13,101.615440,1.659E+13,046.244722,3.693E+13,422.661570,6.019E+10,002.415502
6.594E+12,171.092512,2.302E+11,024.257917,5.631E+13,337.746003,8.257E+12,067.429513,4.886E+10,006.141834,5.811E+13,116.265427,1.711E+13,048.701840,3.693E+13,507.045494,6.899E+10,002.543061
7.109E+12,180.556730,3.881E+11,028.982337,6.278E+13,396.345951,8.773E+12,070.715700,7.541E+10,006.992230,6.364E+13,133.845411,1.758E+13,051.158958,3.693E+13,608.306203,8.022E+10,002.696133
7.620E+12,190.020949,6.387E+11,034.651640,6.855E+13,466.665887,9.279E+12,074.001887,1.161E+11,008.012704,6.864E+13,154.941392,1.807E+13,054.107500,3.693E+13,729.819054,9.424E+10,002.879818
8.125E+12,199.485168,1.043E+12,041.454805,7.325E+13,551.049812,9.775E+12,077.288074,1.774E+11,009.237274,7.236E+13,176.037373,1.851E+13,057.056042,3.693E+13,875.634475,1.117E+11,003.100241
8.622E+12,208.949386,1.713E+12,049.618602,7.667E+13,652.310521,1.026E+13,080.574261,2.681E+11,010.706757,7.543E+13,201.352551,1.895E+13,060.594293,3.693E+13,1000.000000,1.337E+11,003.364748
9.111E+12,218.413605,2.782E+12,059.415158,7.887E+13,773.823372,1.073E+13,083.860448,4.000E+11,012.470138,7.773E+13,231.730763,1.939E+13,064.840193,,,1.623E+11,003.682156
9.590E+12,227.877824,4.202E+12,071.171026,8.009E+13,919.638793,1.119E+13,087.146635,5.883E+11,014.586194,7.927E+13,268.184619,1.975E+13,069.086093,,,1.998E+11,004.063046
1.006E+13,237.342042,5.694E+12,085.278068,8.043E+13,1000.000000,1.164E+13,090.432822,8.534E+11,017.125461,8.018E+13,311.929245,2.008E+13,074.181174,,,2.485E+11,004.520114
1.052E+13,246.806261,7.196E+12,102.206517,,,1.207E+13,093.719009,1.224E+12,020.172582,8.065E+13,364.422797,2.039E+13,080.295271,,,3.110E+11,005.068596
1.096E+13,256.270480,8.957E+12,122.520657,,,1.249E+13,097.005196,1.746E+12,023.829127,8.086E+13,427.415059,2.065E+13,087.632187,,,3.899E+11,005.726774
1.140E+13,265.734698,1.120E+13,146.897625,,,1.289E+13,100.291383,2.516E+12,028.216982,8.094E+13,503.005773,2.085E+13,096.436486,,,4.872E+11,006.516588
1.182E+13,275.198917,1.392E+13,176.149986,,,1.328E+13,103.577570,3.762E+12,033.482407,8.097E+13,593.714630,2.100E+13,107.001645,,,6.026E+11,007.464364
1.223E+13,284.663136,1.701E+13,211.252819,,,1.366E+13,106.863757,5.938E+12,039.800917,8.098E+13,702.565259,2.109E+13,119.679835,,,7.310E+11,008.601696
1.263E+13,294.127354,2.039E+13,253.376220,,,1.402E+13,110.149945,9.427E+12,047.383129,8.098E+13,833.186013,2.114E+13,134.893664,,,8.596E+11,009.966494
1.301E+13,303.591573,2.390E+13,303.924300,,,1.444E+13,114.093369,1.352E+13,056.481783,8.098E+13,989.930918,2.117E+13,153.150259,,,9.661E+11,011.604252
1.338E+13,313.055792,2.733E+13,364.581996,,,1.483E+13,118.036793,1.692E+13,067.400168,8.098E+13,1000.000000,2.118E+13,175.058172,,,1.028E+12,013.569562
1.374E+13,322.520010,3.041E+13,437.371231,,,1.521E+13,121.980218,1.964E+13,080.502231,,,2.119E+13,201.347669,,,1.062E+12,015.927933
1.408E+13,331.984229,3.292E+13,524.718314,,,1.557E+13,125.923642,2.249E+13,096.224706,,,2.119E+13,232.895064,,,1.258E+12,018.757978
1.442E+13,341.448448,3.473E+13,629.534813,,,1.597E+13,130.655752,2.583E+13,115.091675,,,2.119E+13,270.751939,,,2.113E+12,021.588024
1.474E+13,350.912666,3.588E+13,755.314612,,,1.635E+13,135.387861,2.920E+13,137.732039,,,2.119E+13,316.180189,,,3.456E+12,023.286051
1.504E+13,360.376885,3.650E+13,906.250370,,,1.671E+13,140.119970,3.203E+13,164.900476,,,2.119E+13,370.694088,,,5.977E+12,024.984078
1.539E+13,371.733947,3.669E+13,1000.000000,,,1.711E+13,145.798501,3.412E+13,197.502600,,,2.119E+13,436.110767,,,1.030E+13,026.682106
1.573E+13,383.091010,,,,,1.747E+13,151.477033,3.551E+13,236.625148,,,2.119E+13,514.610783,,,1.728E+13,028.380133
1.605E+13,394.448072,,,,,1.780E+13,157.155564,3.631E+13,283.572207,,,2.119E+13,608.810801,,,3.025E+13,030.417766
1.635E+13,405.805135,,,,,1.817E+13,163.969801,3.670E+13,339.908677,,,2.119E+13,721.850823,,,5.250E+13,032.862925
1.669E+13,419.433609,,,,,1.850E+13,170.784039,3.686E+13,407.512441,,,2.119E+13,857.498850,,,7.570E+13,035.797116
1.701E+13,433.062084,,,,,1.885E+13,178.961124,3.692E+13,488.636957,,,2.119E+13,1000.000000,,,7.956E+13,039.318145
1.731E+13,446.690559,,,,,1.915E+13,187.138209,3.693E+13,585.986378,,,,,,,7.101E+13,043.543381
1.765E+13,463.044729,,,,,1.947E+13,196.950711,3.693E+13,702.805682,,,,,,,6.661E+13,047.768616
1.795E+13,479.398899,,,,,1.979E+13,208.725713,3.693E+13,842.988847,,,,,,,6.628E+13,052.838898
1.829E+13,499.023903,,,,,2.009E+13,222.855716,3.693E+13,1000.000000,,,,,,,6.726E+13,057.909180
1.859E+13,518.648907,,,,,2.038E+13,239.811719,,,,,,,,,7.151E+13,063.993519
1.892E+13,542.198911,,,,,2.062E+13,260.158923,,,,,,,,,7.651E+13,071.294726
1.921E+13,565.748916,,,,,2.082E+13,284.575568,,,,,,,,,7.920E+13,080.056174
1.950E+13,594.008921,,,,,2.097E+13,313.875541,,,,,,,,,8.000E+13,090.569911
1.980E+13,627.920928,,,,,2.107E+13,349.035510,,,,,,,,,8.041E+13,103.186396
2.010E+13,668.615336,,,,,2.113E+13,391.227472,,,,,,,,,8.084E+13,118.326178
2.037E+13,717.448625,,,,,2.116E+13,441.857827,,,,,,,,,8.110E+13,136.493916
2.061E+13,776.048573,,,,,2.118E+13,502.614252,,,,,,,,,8.119E+13,158.295202
2.081E+13,846.368510,,,,,2.118E+13,575.521963,,,,,,,,,8.119E+13,184.456745
2.096E+13,930.752434,,,,,2.119E+13,663.011215,,,,,,,,,8.116E+13,215.850596
2.103E+13,1000.000000,,,,,2.119E+13,767.998319,,,,,,,,,8.112E+13,253.523218
,,,,,,2.119E+13,893.982842,,,,,,,,,8.111E+13,291.195840
,,,,,,2.119E+13,1000.000000,,,,,,,,,8.109E+13,328.868462
,,,,,,,,,,,,,,,,8.104E+13,374.075608
,,,,,,,,,,,,,,,,8.099E+13,428.324184
,,,,,,,,,,,,,,,,8.097E+13,493.422475
,,,,,,,,,,,,,,,,8.097E+13,571.540423
,,,,,,,,,,,,,,,,8.097E+13,665.281962
,,,,,,,,,,,,,,,,8.098E+13,777.771808
,,,,,,,,,,,,,,,,8.098E+13,912.759624
,,,,,,,,,,,,,,,,8.098E+13,1000.000000
