W_500_10_300,T_500_10_300,W_500_50_300,T_500_50_300,W_500_100_300,T_500_100_300,W_500_10_100,T_500_10_100,W_500_50_100,T_500_50_100,W_500_100_100,T_500_100_100,W_500_10_30,T_500_10_30,W_500_50_30,T_500_50_30,W_500_100_30,T_500_100_30
0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000
2.926E+08,000.000280,1.981E+07,000.000008,2.412E+06,000.000280,2.926E+08,000.000280,1.981E+07,000.000008,3.161E+06,000.000280,1.476E+08,000.000778,6.739E+06,000.000467,2.476E+06,000.000280
1.816E+08,000.000448,1.812E+07,000.000016,1.872E+06,000.000448,1.817E+08,000.000448,1.812E+07,000.000016,1.881E+06,000.000448,8.740E+07,000.001244,5.137E+06,000.000746,1.896E+06,000.000448
1.306E+08,000.000649,1.685E+07,000.000025,1.567E+06,000.000649,1.306E+08,000.000649,1.685E+07,000.000025,1.581E+06,000.000649,6.211E+07,000.001804,4.224E+06,000.001082,1.600E+06,000.000649
1.003E+08,000.000891,1.575E+07,000.000036,1.336E+06,000.000891,1.004E+08,000.000891,1.575E+07,000.000036,1.352E+06,000.000891,4.766E+07,000.002476,3.568E+06,000.001486,1.379E+06,000.000891
7.997E+07,000.001182,1.475E+07,000.000050,1.150E+06,000.001182,8.009E+07,000.001182,1.475E+07,000.000050,1.168E+06,000.001182,3.814E+07,000.003282,3.057E+06,000.001969,1.203E+06,000.001182
6.537E+07,000.001530,1.381E+07,000.000066,9.950E+05,000.001530,6.549E+07,000.001530,1.382E+07,000.000066,1.015E+06,000.001530,3.131E+07,000.004250,2.641E+06,000.002550,1.058E+06,000.001530
5.430E+07,000.001948,1.293E+07,000.000086,8.619E+05,000.001948,5.444E+07,000.001948,1.293E+07,000.000086,8.845E+05,000.001948,2.610E+07,000.005411,2.297E+06,000.003246,9.371E+05,000.001948
4.559E+07,000.002449,1.208E+07,000.000109,7.458E+05,000.002449,4.575E+07,000.002449,1.208E+07,000.000109,7.711E+05,000.002449,2.205E+07,000.006804,2.010E+06,000.004082,8.344E+05,000.002449
3.858E+07,000.003051,1.127E+07,000.000137,6.437E+05,000.003051,3.876E+07,000.003051,1.127E+07,000.000137,6.721E+05,000.003051,1.890E+07,000.008475,1.771E+06,000.005085,7.472E+05,000.003051
