W_200_10_300,T_200_10_300,W_200_50_300,T_200_50_300,W_200_100_300,T_200_100_300,W_200_10_100,T_200_10_100,W_200_50_100,T_200_50_100,W_200_100_100,T_200_100_100,W_200_10_30,T_200_10_30,W_200_50_30,T_200_50_30,W_200_100_30,T_200_100_30
0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000
3.456E+07,000.006000,8.326E+06,000.003600,7.982E+05,000.002160,3.696E+07,000.006000,2.701E+06,000.003600,7.212E+05,000.003600,7.370E+07,000.002160,1.986E+06,000.006000,9.805E+05,000.003600
1.932E+07,000.009600,1.558E+06,000.005760,4.908E+05,000.003456,1.932E+07,000.009600,1.671E+06,000.005760,4.571E+05,000.005760,4.381E+07,000.003456,1.262E+06,000.009600,4.981E+05,000.005760
1.363E+07,000.013920,1.091E+06,000.008352,3.637E+05,000.005011,1.376E+07,000.013920,1.168E+06,000.008352,3.255E+05,000.008352,3.021E+07,000.005011,9.625E+05,000.013920,3.817E+05,000.008352
1.086E+07,000.019104,8.113E+05,000.011462,2.813E+05,000.006877,1.106E+07,000.019104,8.768E+05,000.011462,2.496E+05,000.011462,2.270E+07,000.006877,8.522E+05,000.019104,3.219E+05,000.011462
9.377E+06,000.025325,6.467E+05,000.015195,2.226E+05,000.009117,9.659E+06,000.025325,7.111E+05,000.015195,2.080E+05,000.015195,1.793E+07,000.009117,8.341E+05,000.025325,3.005E+05,000.015195
8.636E+06,000.032790,5.407E+05,000.019674,1.807E+05,000.011804,9.004E+06,000.032790,6.107E+05,000.019674,1.851E+05,000.019674,1.484E+07,000.011804,8.907E+05,000.032790,3.043E+05,000.019674
8.340E+06,000.041748,4.741E+05,000.025049,1.537E+05,000.015029,8.816E+06,000.041748,5.543E+05,000.025049,1.754E+05,000.025049,1.280E+07,000.015029,1.018E+06,000.041748,3.314E+05,000.025049
8.325E+06,000.052497,4.355E+05,000.031498,1.348E+05,000.018899,8.938E+06,000.052497,5.313E+05,000.031498,1.767E+05,000.031498,1.141E+07,000.018899,1.226E+06,000.052497,3.847E+05,000.031498
8.506E+06,000.065397,4.167E+05,000.039238,1.225E+05,000.023543,9.295E+06,000.065397,5.346E+05,000.039238,1.879E+05,000.039238,1.057E+07,000.023543,1.538E+06,000.065397,4.706E+05,000.039238
