time,volt
-0.9835011404250483, 1.1848341232226858
-0.8935461179362926, 1.1848341232226858
-0.7735705606912184, -1.1848341232229131
-0.661126782580274, -1.1848341232229131
-0.5936605157137071, -1.1848341232229131
-0.5037054932249514, -1.1848341232229131
-0.45123173010651074, -1.1848341232229131
-0.39127947874404034, 0
-0.32383097550750706, 1.1848341232226858
-0.2714460305392328, 7.109004739336342
-0.2040685818228325, 13.033175355450112
-0.15914436146855482, 16.587677725118397
-0.12178744750847303, 24.881516587677652
-0.0544099987920732, 30.805687203791422
-0.032205461250417455, 49.763033175355304
-0.00992986918862826, 63.98104265402833
-0.0026112536148987786, 75.82938388625581
0.01218585020286067, 88.8625592417061
0.026947426760553395, 104.26540284360186
0.026734263200153485, 118.48341232227477
0.034017351513816685, 132.7014218009478
0.033804187953416776, 146.91943127962082
0.033573260762983725, 162.32227488151653
0.03341338809268368, 172.98578199052122
0.033271279052417224, 182.46445497630322
0.033058115492017315, 196.68246445497624
0.04039449469578016, 207.34597156398098
0.040216858395446975, 219.19431279620846
0.04003922209511379, 231.04265402843595
0.04735783766884327, 242.89099526066343
0.04714467410844336, 257.10900473933646
0.04698480143814354, 267.77251184834114
0.04677163787774363, 281.9905213270141
0.05405472619140661, 296.20853080568713
0.06133781450506981, 310.42654028436016
0.06858537555866628, 327.0142180094786
0.0758862275023624, 340.04739336492884
0.09068333132012207, 353.0805687203791
0.09794865600375191, 368.48341232227483
0.09769996518328528, 385.07109004739334
0.10498305349694825, 399.28909952606625
0.10476988993654834, 413.5071090047393
0.11201745099014482, 430.0947867298578
0.11182205105977827, 443.127962085308
0.11162665112941172, 456.16113744075824
0.12644151857720431, 468.0094786729857
0.15658639874375613, 457.345971563981
0.16426028691815242, 445.4976303317535
0.17191641146251557, 434.83412322274876
0.19461833064510436, 420.61611374407573
0.21728472256762643, 408.7677725118483
0.2324548626160854, 396.91943127962077
0.2551390181686406, 383.88625592417054
0.27775211920106324, 375.5924170616113
0.35264358342155955, 380.33175355450226
0.3677781962099522, 370.8530805687203
0.4128800528645633, 362.55924170616106
0.4504678940150777, 355.45023696682455
0.4506810575754776, 341.2322274881516
0.4659044885140369, 325.82938388625587
0.47366719483859976, 308.0568720379147
0.48899720755735876, 285.5450236966824
0.4818384646539293, 263.03317535545017
0.48965446186859163, 241.7061611374407
0.5050022382173842, 218.00947867298572
0.5053042199279507, 197.86729857819898
0.5205454144965431, 181.27962085308047
0.5283791753412395, 158.76777251184825
0.5286633934217728, 139.8104265402843
0.5289298478722726, 122.03791469194306
0.544171042440865, 105.4502369668246
0.5589148553685246, 122.03791469194306
0.5661268891620539, 140.99526066350705
0.5733566865856172, 158.76777251184825
0.5956678059074729, 170.6161137440758
0.6481415690259138, 170.6161137440758
0.6408584807122506, 156.39810426540276
0.6635959271549066, 139.8104265402843
0.7385229186354691, 142.1800947867298
0.7987060971883726, 127.96208530805677
0.8888209923474286, 117.29857819905203
0.9714396356324206, 106.63507109004729
1.084043286413665, 95.9715639810426
1.1891862125809136, 82.93838862559232
1.3092861152362212, 72.27488151658758
1.4144290414034688, 59.2417061611373
1.504508409302458, 50.94786729857822
1.5870915253273843, 42.65402843601896
1.6921456333444658, 35.54502369668239
1.7822250012434542, 27.251184834123137
1.894828652024699, 16.587677725118397
2.0149107910499726, 7.109004739336342
2.1574816856974364, -2.369668246445599
2.2775638247227095, -11.848341232227654
2.367607665361633, -17.77251184834131
2.4876542771268397, -24.881516587677766
2.585229896899892, -33.17535545023702
2.750236256279444, -39.09952606635079
2.907764127414966, -46.20853080568736
3.0127294172818813, -47.393364928910046
3.1627255092832733, -52.132701421801016
3.3126683103945664, -53.317535545023816
3.470107363379923, -54.502369668246615
3.620014637231148, -53.317535545023816
3.754964934594315, -54.502369668246615
3.9423712314458896, -54.502369668246615
4.077268237918956, -52.132701421801016
4.19713721338383, -47.393364928910046
4.3920042348494, -45.02369668246456
4.5268479504323675, -39.09952606635079
4.70670470451978, -35.545023696682506
4.834123222748816, -34.36018957345982
4.91652870247341, -30.805687203791535
